pair_id,error
scene_033_1_4,1.6351426670824687
scene_033_1_5,1.582740517805862
scene_033_1_6,1.1571351387176059
scene_017_1_6,1.0349247252035427
scene_021_1_6,0.7193186649695347
scene_010_1_5,0.22272081716299721
scene_006_1_6,0.04267908648858603
scene_038_1_6,0.029170448515711524
scene_006_1_5,0.025471749907889217
scene_038_1_5,0.01852774942065103
scene_030_1_6,0.012323399869718171
scene_014_1_4,0.0106463959353326
scene_014_1_6,0.010350391637025917
scene_016_1_6,0.00861361267806157
scene_005_1_3,0.00663843681102929
scene_019_1_6,0.006366085119954387
scene_007_1_6,0.0061209230344623205
scene_037_1_5,0.005986022049577622
scene_007_1_4,0.0058660414934956565
scene_011_1_6,0.00575049809183822
scene_036_1_6,0.0056481660834286
scene_036_1_5,0.005631513415544027
scene_014_1_2,0.004747801408127158
scene_006_1_4,0.004419818468636515
scene_038_1_3,0.003926585787932529
scene_011_1_4,0.0038463922588726565
scene_014_1_3,0.003786503943015683
scene_014_1_5,0.0037429622258364345
scene_037_1_4,0.00372976642375848
scene_033_1_3,0.003585334492604388
scene_010_1_4,0.0035782306086478374
scene_036_1_3,0.003536998126271288
scene_003_1_5,0.0035100454039741283
scene_037_1_2,0.003471225175707013
scene_007_1_5,0.003434173998205665
scene_012_1_6,0.0033459176341799172
scene_024_1_3,0.003158218489827603
scene_003_1_4,0.003102791890681712
scene_018_1_5,0.002590651642466929
scene_020_1_4,0.0025479679784726943
scene_018_1_3,0.002541326299694488
scene_006_1_3,0.0024738709880406627
scene_003_1_6,0.002466227799025285
scene_029_1_6,0.002420441141854889
scene_020_1_2,0.002393946995475515
scene_037_1_3,0.0023182909428164852
scene_002_1_6,0.002216067062060771
scene_018_1_6,0.0021091891184230297
scene_038_1_2,0.0021084830979086243
scene_022_1_5,0.002023587714783043
scene_012_1_5,0.0018847722705069125
scene_002_1_3,0.0018383870577481976
scene_024_1_6,0.0018062400649428811
scene_010_1_3,0.0017916016592989994
scene_024_1_4,0.0017619681380842856
scene_037_1_6,0.0017545119415329172
scene_018_1_4,0.0017304395604087672
scene_028_1_6,0.0017155037141674539
scene_007_1_2,0.0016933681744047998
scene_007_1_3,0.0016216969149340445
scene_028_1_5,0.0016147175869333382
scene_028_1_4,0.0015609445291427445
scene_019_1_5,0.0015546042920361418
scene_038_1_4,0.0015177240130766444
scene_016_1_4,0.0015123339044270593
scene_027_1_5,0.001496797195667429
scene_020_1_6,0.0014319880965263875
scene_018_1_2,0.0013860820328032996
scene_011_1_5,0.0013589304416608246
scene_024_1_2,0.001266017445555738
scene_033_1_2,0.0012596661836577826
scene_020_1_5,0.0012008641755126082
scene_021_1_4,0.0011914562786564675
scene_028_1_3,0.0011832538948427988
scene_001_1_6,0.0011678976501572822
scene_029_1_4,0.0011660390389060687
scene_029_1_5,0.0011090954208333814
scene_020_1_3,0.001031767456143565
scene_021_1_3,0.0010313694438954634
scene_012_1_4,0.0010109863504967338
scene_024_1_5,0.0009850491021462006
scene_002_1_5,0.0009736245527800396
scene_017_1_5,0.0009708305757565917
scene_001_1_5,0.0009683152270123834
scene_019_1_3,0.0009286044268500254
scene_027_1_3,0.0009186466744285944
scene_010_1_2,0.0009177472065851072
scene_027_1_6,0.0009086741957706533
scene_021_1_5,0.0009028087604471982
scene_001_1_4,0.0008669912905609918
scene_016_1_5,0.0008379505434616203
scene_029_1_3,0.0007685231834069674
scene_005_1_4,0.000747549748157144
scene_011_1_3,0.000730558168370324
scene_003_1_2,0.0007295133250428837
scene_017_1_4,0.0007243690980141726
scene_022_1_6,0.000709088554705051
scene_030_1_2,0.0006790605078365035
scene_005_1_6,0.0006695547059689221
scene_027_1_4,0.0006551126780273851
scene_032_1_6,0.0006478060696686252
scene_030_1_5,0.0006077327016736063
scene_028_1_2,0.0006004872110163378
scene_011_1_2,0.0005825255186831412
scene_001_1_3,0.0005511130022223122
scene_005_1_2,0.0005129402231152315
scene_030_1_3,0.0004947441531516371
scene_003_1_3,0.0004938644009446438
scene_035_1_3,0.00046888537412674667
scene_035_1_2,0.00046226075753637454
scene_016_1_3,0.0004355037027619882
scene_002_1_4,0.00042827739392627096
scene_021_1_2,0.00042540395651978794
scene_022_1_4,0.0004166660777783728
scene_032_1_5,0.000396412353993096
scene_022_1_3,0.0003836406856113913
scene_005_1_5,0.00036622899601466844
scene_019_1_2,0.0003658943404828101
scene_010_1_6,0.0003657871609772614
scene_030_1_4,0.00035779872549311496
scene_019_1_4,0.0003560248353193534
scene_006_1_2,0.00034597728420543585
scene_035_1_4,0.0003417568369611297
scene_035_1_6,0.00033547188961559305
scene_027_1_2,0.0003060500344201888
scene_032_1_4,0.00030174086044058596
scene_016_1_2,0.0002960791498449939
scene_032_1_3,0.00028433033242294167
scene_017_1_3,0.0002753245529389126
scene_032_1_2,0.00026696972843192045
scene_001_1_2,0.00024010123232338646
scene_036_1_4,0.0002228096315262136
scene_002_1_2,0.00022246862851965226
scene_022_1_2,0.00019152183549222407
scene_035_1_5,0.00019035000187223207
scene_036_1_2,0.0001601474650258218
scene_012_1_3,0.0001450283455170815
scene_029_1_2,0.00012766701701160475
scene_017_1_2,0.00011623612688982282
scene_012_1_2,3.7522014776099504e-05
