pair_id,error
scene_033_1_5,1.0213450128201107
scene_033_1_6,1.0010780175826706
scene_033_1_4,0.9569527960701857
scene_010_1_5,0.1195258981939465
scene_006_1_6,0.04501682774906893
scene_038_1_6,0.023661646256050307
scene_006_1_5,0.023285620113110483
scene_038_1_5,0.015109264757903659
scene_007_1_6,0.009350799463916117
scene_036_1_5,0.005462360223224509
scene_036_1_6,0.005422108565244671
scene_019_1_6,0.004640121794058568
scene_038_1_3,0.004451125582393562
scene_007_1_4,0.004445504046378374
scene_011_1_6,0.003710059282518635
scene_011_1_4,0.0033806418506151714
scene_012_1_6,0.002818669121285704
scene_036_1_3,0.002810128990602544
scene_005_1_3,0.0027382229738497077
scene_006_1_3,0.0026792113767565478
scene_007_1_5,0.002287621911927151
scene_006_1_4,0.002275953556745061
scene_019_1_5,0.0022010290944981955
scene_029_1_6,0.002116815639637233
scene_010_1_4,0.002029330504554891
scene_038_1_2,0.0019489806994874778
scene_017_1_6,0.001928001575689593
scene_038_1_4,0.0016133289241122522
scene_007_1_2,0.0014619135418114204
scene_029_1_4,0.0014318871958415558
scene_016_1_6,0.0014143264266692627
scene_002_1_6,0.0012010867677545386
scene_011_1_5,0.001194126840311973
scene_012_1_5,0.0010824998244575927
scene_010_1_3,0.001014252784830472
scene_012_1_4,0.0010008012040237254
scene_033_1_3,0.0009947124740531635
scene_002_1_5,0.0008263261126155456
scene_007_1_3,0.0007808354293157059
scene_005_1_4,0.0007592384477653456
scene_029_1_5,0.0007506261848503939
scene_016_1_4,0.0007287846130346538
scene_011_1_3,0.0006735925857366035
scene_029_1_3,0.0006244534094047264
scene_016_1_5,0.0005960152494865799
scene_019_1_3,0.0005823763186208866
scene_010_1_2,0.0005706624209489331
scene_005_1_6,0.0005491901781087473
scene_002_1_3,0.0005471015584791304
scene_005_1_2,0.0004966843995500343
scene_017_1_4,0.00047701698463598915
scene_002_1_4,0.0004689667083391134
scene_011_1_2,0.00045940415032176015
scene_033_1_2,0.0004592097302475723
scene_017_1_5,0.00041569614407872075
scene_016_1_3,0.0004007901027223384
scene_005_1_5,0.0003803565324971229
scene_019_1_4,0.0003707563674247276
scene_010_1_6,0.00036302656220407064
scene_006_1_2,0.0003229124062796847
scene_019_1_2,0.0003099301724915294
scene_036_1_4,0.0002594022230181777
scene_002_1_2,0.0002077918808884919
scene_016_1_2,0.0002006294380072008
scene_036_1_2,0.00017262295788134156
scene_017_1_2,0.00015282178048906116
scene_017_1_3,0.00014147499462605152
scene_029_1_2,0.0001346275181735058
scene_012_1_3,0.00010793594174674603
scene_012_1_2,4.1282350261909004e-05
scene_030_1_2,0.0
scene_030_1_3,0.0
scene_030_1_4,0.0
scene_030_1_5,0.0
scene_030_1_6,0.0
scene_020_1_2,0.0
scene_020_1_3,0.0
scene_020_1_4,0.0
scene_020_1_5,0.0
scene_020_1_6,0.0
scene_001_1_2,0.0
scene_001_1_3,0.0
scene_001_1_4,0.0
scene_001_1_5,0.0
scene_001_1_6,0.0
scene_027_1_2,0.0
scene_027_1_3,0.0
scene_027_1_4,0.0
scene_027_1_5,0.0
scene_027_1_6,0.0
scene_018_1_2,0.0
scene_018_1_3,0.0
scene_018_1_4,0.0
scene_018_1_5,0.0
scene_018_1_6,0.0
scene_037_1_2,0.0
scene_037_1_3,0.0
scene_037_1_4,0.0
scene_037_1_5,0.0
scene_037_1_6,0.0
scene_003_1_2,0.0
scene_003_1_3,0.0
scene_003_1_4,0.0
scene_003_1_5,0.0
scene_003_1_6,0.0
scene_035_1_2,0.0
scene_035_1_3,0.0
scene_035_1_4,0.0
scene_035_1_5,0.0
scene_035_1_6,0.0
scene_028_1_2,0.0
scene_028_1_3,0.0
scene_028_1_4,0.0
scene_028_1_5,0.0
scene_028_1_6,0.0
scene_014_1_2,0.0
scene_014_1_3,0.0
scene_014_1_4,0.0
scene_014_1_5,0.0
scene_014_1_6,0.0
scene_022_1_2,0.0
scene_022_1_3,0.0
scene_022_1_4,0.0
scene_022_1_5,0.0
scene_022_1_6,0.0
scene_024_1_2,0.0
scene_024_1_3,0.0
scene_024_1_4,0.0
scene_024_1_5,0.0
scene_024_1_6,0.0
scene_032_1_2,0.0
scene_032_1_3,0.0
scene_032_1_4,0.0
scene_032_1_5,0.0
scene_032_1_6,0.0
scene_021_1_2,0.0
scene_021_1_3,0.0
scene_021_1_4,0.0
scene_021_1_5,0.0
scene_021_1_6,0.0
