pair_id,error
scene_010_1_5,2.3636356928970597
scene_006_1_6,0.05484455991690684
scene_038_1_6,0.023713220395191657
scene_033_1_6,0.019390389513680533
scene_033_1_5,0.01875788208624577
scene_038_1_5,0.018569875339113782
scene_006_1_5,0.010857261651898282
scene_007_1_6,0.00656469254061678
scene_036_1_5,0.00618649771152814
scene_007_1_4,0.005374880770619211
scene_036_1_6,0.005306619080982381
scene_005_1_3,0.005159622348588514
scene_011_1_4,0.00450448974682571
scene_033_1_4,0.0042542332561988725
scene_036_1_3,0.0038010067650520603
scene_019_1_6,0.0037319114427879973
scene_011_1_6,0.0036235696702855433
scene_007_1_5,0.0033372124596364296
scene_006_1_4,0.002547807127700751
scene_010_1_4,0.002521277501126222
scene_038_1_3,0.002456402056072393
scene_006_1_3,0.0022576056118529626
scene_012_1_6,0.002233165321529131
scene_038_1_4,0.0019944151547190694
scene_038_1_2,0.0019192402166382694
scene_017_1_6,0.0016666251810387403
scene_029_1_6,0.0015735944711287597
scene_029_1_4,0.0015616257311609509
scene_016_1_6,0.0014482156693937666
scene_002_1_3,0.0014172932250479198
scene_016_1_5,0.0013225327193173906
scene_007_1_2,0.001181199182534079
scene_016_1_4,0.0011616412306225134
scene_007_1_3,0.0011575540787749753
scene_010_1_3,0.001138891796336098
scene_005_1_6,0.0010179753131487165
scene_033_1_3,0.0009381989822820714
scene_011_1_5,0.0009370060580377197
scene_002_1_6,0.0009227514285850937
scene_005_1_4,0.0008879151641335238
scene_002_1_5,0.0008816952641679703
scene_011_1_3,0.0008462209022030247
scene_033_1_2,0.0008120588176998855
scene_029_1_5,0.0007712288778907279
scene_012_1_5,0.0007611362981856524
scene_029_1_3,0.0006953597977455716
scene_017_1_5,0.0006773427730494551
scene_019_1_3,0.0006716428665164004
scene_005_1_2,0.0006563438118179113
scene_010_1_2,0.0006244890419755735
scene_019_1_5,0.0006123497679356991
scene_017_1_4,0.0004906640658543012
scene_002_1_4,0.0004775045759163317
scene_006_1_2,0.00044327860758898414
scene_016_1_3,0.0004340469752266669
scene_011_1_2,0.00041569136935822113
scene_010_1_6,0.00036188575538255387
scene_012_1_4,0.00034370534207065845
scene_019_1_4,0.0003011908792168984
scene_002_1_2,0.00029702075845082574
scene_005_1_5,0.00027852015207084364
scene_019_1_2,0.00027259041382809567
scene_036_1_4,0.0002714567490066812
scene_016_1_2,0.0002533890860821716
scene_017_1_3,0.00024737018815517087
scene_029_1_2,0.00014170601745643795
scene_017_1_2,0.000136872527572525
scene_036_1_2,0.00013381040701751889
scene_012_1_3,0.00012482199863777786
scene_012_1_2,3.7754908772763996e-05
scene_030_1_2,0.0
scene_030_1_3,0.0
scene_030_1_4,0.0
scene_030_1_5,0.0
scene_030_1_6,0.0
scene_020_1_2,0.0
scene_020_1_3,0.0
scene_020_1_4,0.0
scene_020_1_5,0.0
scene_020_1_6,0.0
scene_001_1_2,0.0
scene_001_1_3,0.0
scene_001_1_4,0.0
scene_001_1_5,0.0
scene_001_1_6,0.0
scene_027_1_2,0.0
scene_027_1_3,0.0
scene_027_1_4,0.0
scene_027_1_5,0.0
scene_027_1_6,0.0
scene_018_1_2,0.0
scene_018_1_3,0.0
scene_018_1_4,0.0
scene_018_1_5,0.0
scene_018_1_6,0.0
scene_037_1_2,0.0
scene_037_1_3,0.0
scene_037_1_4,0.0
scene_037_1_5,0.0
scene_037_1_6,0.0
scene_003_1_2,0.0
scene_003_1_3,0.0
scene_003_1_4,0.0
scene_003_1_5,0.0
scene_003_1_6,0.0
scene_035_1_2,0.0
scene_035_1_3,0.0
scene_035_1_4,0.0
scene_035_1_5,0.0
scene_035_1_6,0.0
scene_028_1_2,0.0
scene_028_1_3,0.0
scene_028_1_4,0.0
scene_028_1_5,0.0
scene_028_1_6,0.0
scene_014_1_2,0.0
scene_014_1_3,0.0
scene_014_1_4,0.0
scene_014_1_5,0.0
scene_014_1_6,0.0
scene_022_1_2,0.0
scene_022_1_3,0.0
scene_022_1_4,0.0
scene_022_1_5,0.0
scene_022_1_6,0.0
scene_024_1_2,0.0
scene_024_1_3,0.0
scene_024_1_4,0.0
scene_024_1_5,0.0
scene_024_1_6,0.0
scene_032_1_2,0.0
scene_032_1_3,0.0
scene_032_1_4,0.0
scene_032_1_5,0.0
scene_032_1_6,0.0
scene_021_1_2,0.0
scene_021_1_3,0.0
scene_021_1_4,0.0
scene_021_1_5,0.0
scene_021_1_6,0.0
